Term,Type,Synonyms,Definition,Generated Definition
"limited partner",Class,"","A partner in a partnership whose liabilities are limited to the extent of their equity holding or guarantees","A kind of partner. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `holds partnership equity in` only `limited partner equity`."
"limited partner equity",Class,"","equity in a partnership held by limited partners; this is not accompanied by any liability capability on the part of the holders of this equity.","A kind of issued equity and partnership equity."
"listed security",Class,"","a registered security listed on a specific exchange","A kind of registered security. A valid occurrence satisfies the following necessary conditions:
has currency at least one occurrence of currency.
has listing date exactly one occurrence of date.
is listed via at least one occurrence of security listing.A valid occurrence may also have the following properties:
is traded on any number of occurrences of securities exchange."
"listed security identifier",Class,"","a security identifier issued in the public domain and referred to in listings and other relevant publications","A kind of security identifier. A valid occurrence satisfies the following necessary conditions:
is registered in at least one occurrence of exchange-specific securities registry.
identifies exactly one occurrence of listed security.
is registered by at least one occurrence of securities exchange.A valid occurrence may also have the following properties:
has definition any number of occurrences of exchange-specific security identification scheme."
"litigation capacity",Class,"","the legal capacity to pursue a litigation action in law","A kind of legal capacity."
"loan or credit account",Class,"","an account associated with a service in which the account holder receives funds from the account provider under certain terms and conditions for repayment","A kind of financial service account."
"local firm",Class,"","a firm dealing for its own account on markets in financial futures or options or other derivatives and on cash markets for the sole purpose of hedging positions on derivatives markets, or dealing for the accounts of other members of those markets and being guaranteed by clearing members of the same markets, where responsibility for ensuring the performance of contracts entered into by such a firm is assumed by clearing members of the same markets","A kind of brokerage firm and credit institution or investment firm."
"location",Class,"","Anything that can be defined as the answer to a question of the form, Where is...?",""
"London Interbank Offered Rate",Class,"","a benchmark interbank offered rate that the most creditworthy international banks charge each other for large, short-term loans","A kind of interbank offered rate."
"majority controlling party",Class,"","","A kind of sole controlling party."
"make whole feature",Class,"make whole provision","a call provision allowing the issuer to pay off remaining debt early","A kind of call feature."
"managed interest rate",Class,"","a variable interest rate charged by a financial institution for borrowing that is not prescribed as a margin over base rate but is set from time to time by the institution","A kind of variable interest rate. A valid occurrence satisfies the following necessary condition:
is managed by at least one occurrence of financial service provider."
"management company",Class,"","Any investment company that sells and manages a portfolio of securities other than a face-amount certificate company or unit investment fund.","A kind of investment company."
"market",Class,"","a market is a venue that allows buyers and sellers of goods, commodities, services, etc. to conduct business, including markets where securities may be traded","A kind of venue. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `situates` some `commercial activity`."
"market basket",Class,"","a basket made up of market indices","A kind of basket. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of basket Of indices constituent."
"market data provider",Class,"","a publisher that publishes data about the financial markets","A kind of financial information publisher. A valid occurrence satisfies the following necessary condition:
publishes at least one occurrence of market rate."
"market identifier",Class,"","identifier or code allocated to places of trade, i.e., stock exchanges, regulated markets, e.g., Electronic Trading Platforms (ECN), and unregulated markets, e.g., Automated Trading Systems (ATS)","A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of exchange."
"market rate",Class,"","a measure that is also published financial information providing a rate used to measure market trends for a set of instruments (S&P500, NASDAQ composite, 30 day CD) or that describes the economic climate for an industry (Dow Jones Industrial Average (DJIA), H&Q Growth Technologies) and/or political region (LIBOR, Prime)","A kind of published financial information and rate. A valid occurrence may have the following properties:
has quotation date and time any number of occurrences of date time.
has quotation date any number of occurrences of date."
"market spread",Class,"","a statistical measure providing the difference (or spread) between two market rates","A kind of statistical measure. A valid occurrence satisfies the following necessary condition:
has operand exactly two occurrences of market rate."
"Maturity level",Class,"","","A kind of Concept."
"mean",Class,"","the most common measure of central tendency, the average of a set of numbers","A kind of expression, quantity value, and statistical measure."
"measure",Class,"","an amount or degree of something; the dimensions, capacity, or amount of something ascertained by measuring","A kind of reference. A valid occurrence may have the following properties:
has measurement period in months any number of values of integer.
is a measure of any number of occurrences of any type."
"measurement unit",Class,"","a quantity, defined and adopted by convention, with which any other quantity of the same kind can be compared to express the ratio of the two quantities as a number","Equivalent to Unit.A kind of quantity. A valid occurrence satisfies the following necessary conditions:
has definition at least one occurrence of system of units.
applies to at least one occurrence of quantity kind."
"merchant",Class,"","a business entity engaged in a trading activity","A kind of business. A valid occurrence satisfies the following necessary condition:
is characterized by at least one occurrence of commerce."
"merchant service",Class,"","a financial service provided by a financial institution to a merchant or other business, including but not limited to managing financial transactions via a secure channel","A kind of financial service."
"metropolitan statistical area",Class,"","one or more adjacent counties or county equivalents that have at least one urban core area of at least 50,000 population, plus adjacent territory that has a high degree of social and economic integration with the core as measured by commuting ties","A kind of statistical area."
"micropolitan statistical area",Class,"","one or more adjacent counties or county equivalents that have at least one urban core area of at least 10,000 population but less than 50,000, plus adjacent territory that has a high degree of social and economic integration with the core as measured by commuting ties","A kind of statistical area."
"military person",Class,"","a person that is a member of the active duty military","A kind of legally capable person."
"minor",Class,"","a person under a certain age, usually the age of majority in a given jurisdiction, which legally demarcates childhood from adulthood","A kind of person."
"mixed basket",Class,"","a basket that has a mix of constituents, including securities and indices","A kind of basket. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of (Unnamed Class)."
"monetary amount",Class,"","the measure which is an amount of money specified in monetary units","A kind of monetary measure. A valid occurrence may have the following properties:
has currency any number of occurrences of currency.
has currency any number of occurrences of currency."
"monetary authority",Class,"","a regulatory agency that controls the monetary policy, regulation and supply of money in some country or group of countries","A kind of regulatory agency. A valid occurrence satisfies the following necessary condition:
regulates supply of at least one occurrence of currency."
"monetary measure",Class,"","some measure of some sum of money","A kind of measure."
"monetary price",Class,"","a price that that is expressed as a monetary amount","A kind of monetary amount and price."
"money amount",Class,"","a trading system that facilitates the exchange of financial instruments between multiple parties","A kind of exchange. A valid occurrence may have the following properties:
is managed by any number of occurrences of financial service provider."
"multilateral trading facility",Class,"","a trading system that facilitates the exchange of financial instruments between multiple parties","A kind of exchange. A valid occurrence may have the following properties:
is managed by any number of occurrences of financial service provider."
"municipal entity",Class,"municipality","a polity that typically represents a city, township, or other administrative subdivision having corporate status and powers of self-government or jurisdiction","A kind of polity. A valid occurrence satisfies the following necessary conditions:
has sovereignty over at least one occurrence of municipality.
is represented by at least one occurrence of municipal government."
"municipal government",Class,"","the government of a municipality","A kind of government. A valid occurrence satisfies the following necessary condition:
governs at least one occurrence of municipality."
"municipality",Class,"","an urban administrative division having corporate status and usually powers of self-government or jurisdiction","A kind of geopolitical entity."
"mutual agreement",Class,"","an agreement between two or more specific named parties. The rights and obligations pertaining to either party cannot be transferred to another party without prior agreement","A kind of agreement. A valid occurrence satisfies the following necessary condition:
confers at least one occurrence of mutual commitment."
"mutual commitment",Class,"","A commitment between two or more parties","A kind of commitment."
"mutual contractual agreement",Class,"bilateral contract","a contract between two or more specific named parties; the rights and obligations pertaining to either party cannot be transferred to another party without prior written permission or a change to the contract itself","A kind of contract and mutual agreement. A valid occurrence satisfies the following necessary condition:
has contract party at least two occurrences of contract party."
"mutual savings bank",Class,"","a financial institution that accepts deposits primarily from individuals and places a large portion of its funds into mortgage loans","A kind of savings bank."
"national bank",Class,"","a commercial bank whose charter is approved by the Office of the Comptroller of the Currency (OCC) rather than by a state banking department","A kind of commercial bank, Federal Reserve System (FRS) member bank, and U.S. bank."
"national government",Class,"","a government and the politicians that that run a country as a whole (as opposed to local government)","A kind of government. A valid occurrence satisfies the following necessary condition:
governs at least one occurrence of country."
"national identification number",Class,"national identity number","a number or text which appears on an identity document issued by a country or jurisdiction","A kind of identifier. A valid occurrence satisfies the following necessary conditions:
identifies exactly one occurrence of person.
is issued by exactly one occurrence of formal organization."
"National Information Center (NIC) registry entry",Class,"","an entry in the the National Information Center (NIC) repository, a repository of financial data and institution characteristics collected by the Federal Reserve System","A kind of registry entry. A valid occurrence satisfies the following necessary conditions:
comprises at least one occurrence of Research, Statistics, Supervision and Regulation, and Discount and Credit identifier.
specifies at least one occurrence of institution type.A valid occurrence may also have the following properties:
applies to any number of occurrences of financial service provider."
"national numbering agency",Class,"","a registration authority responsible for issuing and managing National Securities Identifying Numbers for securities in accordance with the ISO 6166 standard in some jurisdiction (typically that of a country)","A kind of registration authority. A valid occurrence satisfies the following necessary condition:
manages exactly one occurrence of National Securities Identifying Number registry.A valid occurrence may also have the following properties:
issues any number of occurrences of National Securities Identifying Number.
registers any number of occurrences of National Securities Identifying Number.
has jurisdiction any number of occurrences of jurisdiction."
"national numbering agency registry entry",Class,"","an entry in a National Securities Identifying Number registry","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of National Securities Identifying Number.A valid occurrence may also have the following properties:
applies to any number of occurrences of security.
is constituent of any number of occurrences of National Securities Identifying Number registry."
"National Securities Identifying Number",Class,"","a generic, nine-digit alpha numeric code which identifies a fungible security, assigned by a national numbering agency under the ISO 6166 standard","A kind of security identifier. A valid occurrence satisfies the following necessary conditions:
is registered by at least one occurrence of national numbering agency.
identifies exactly one occurrence of security.A valid occurrence may also have the following properties:
has definition any number of occurrences of national security identification scheme.
is a part of any number of occurrences of international securities identification number."
"National Securities Identifying Number registry",Class,"","a registry used by a national numbering agency to manage the financial instrument identifiers and related information that it registers","A kind of registry. A valid occurrence satisfies the following necessary conditions:
is characterized by exactly one occurrence of national security identification scheme.
is managed by exactly one occurrence of national numbering agency.A valid occurrence may also have the following properties:
has registry entry any number of occurrences of national numbering agency registry entry."
"national security identification scheme",Class,"","a security identification scheme, defining the format and structure of a National Securities Identifying Number (NSIN), published nationally on behalf of a country","A kind of registration scheme and security identification scheme. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of jurisdiction.A valid occurrence may also have the following properties:
defines any number of occurrences of National Securities Identifying Number.
characterizes any number of occurrences of National Securities Identifying Number registry."
"natural person",Class,"","A person of maturity who in the eyes of the law is able to assume obligations.","A kind of adult and legal person."
"natural person limited partner",Class,"","A limited partner in a partnership, who is and may only be a Natural Person i.e. a human being.","A kind of limited partner. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of natural person."
"negotiable commodity",Class,"","a commodity that can be bought or sold in some marketplace","A kind of commodity."
"network location",Class,"","A network address is location in a telecommunications network that may be identified by a network address (an identifier for a node or interface)","A kind of virtual location. A valid occurrence satisfies the following necessary condition:
is identified by exactly one occurrence of address."
"new housing sector",Class,"","a classifier for a sector of the economy used for price indices focused on contractors' selling prices of new residential houses, where detailed specifications pertaining to each house remain the same between two consecutive periods","A kind of industry sector classifier."
"non European Economic Area branch",Class,"non-EEA branch","a branch of a credit institution whose Head Office is in a third country","A kind of credit institution."
"non tradable debt instrument",Class,"","a debt instrument that may not be bought or sold","A kind of debt instrument, debt instrument, and mutual contractual agreement. A valid occurrence satisfies the following necessary conditions:
has value at issue at least one occurrence of DebtRelativeValueSelection.
has interest payment terms at least one occurrence of non tradable debt interest terms.
has interest payment terms at least one occurrence of non tradable debt interest terms.
has call terms at least one occurrence of debt call terms.
has call terms at least one occurrence of debt call terms.
has value at issue at least one occurrence of DebtRelativeValueSelection.
has value at maturity at least one occurrence of DebtRelativeValueSelection.
has value at maturity at least one occurrence of DebtRelativeValueSelection.
defines terms for at least one occurrence of debt finance.
has redemption terms at least one occurrence of non-tradable debt redemption terms.
has redemption terms at least one occurrence of non-tradable debt redemption terms.A valid occurrence may also have the following properties:
putable any number of occurrences of Boolean value.
callable any number of occurrences of Boolean value."
"non-binding terms",Class,"","contractual commitments that do not have binding legal standing on the issuer or holder","A kind of contractual commitment."
"non-binding terms set",Class,"","terms that do not have binding legal standing on the issuer or holder","A kind of contract terms set."
"non-depository institution",Class,"","any financial institution that acts as the middleman between two parties in a financial transaction, and that does not provide traditional depository services, such as brokerage firms, insurance companies, investment companies, etc.","A kind of business and financial institution."
"non-depository trust company",Class,"","a trust company that accepts and executes trusts, but does not issue currency; non-depository trust companies can either be Federal Reserve Members or Federal Reserve Non-members","A kind of non-depository institution."
"non-executive board member",Class,"outside director","Some person performing the role of a Board Member of a company, and having no executive responsibilities towards the running of the company.","A kind of board member."
"non-governmental organization",Class,"","a not for profit organization that is a citizen-based group that functions independently of government","A kind of not for profit organization. A valid occurrence satisfies the following necessary condition:
has objective at least one occurrence of public purpose."
"non-incorporated partnership",Class,"","a partnership in which the partners are jointly and severally liable for liabilities incurred by the entity","A kind of partnership with general partners."
"non-physical underlier",Class,"observable underlier","an underlier that does not represent a deliverable asset","A kind of underlier. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of (Unnamed Class)."
"non-rolling date",Class,"","an explicit date that equates to a calendar date with no adjustments and with no reference to any date specification","A kind of explicit date."
"non-tradable debt redemption terms",Class,"","terms for repayment of principal on debt instruments that are not traded securities, such as over the counter, bilateral paper","A kind of redemption provision."
"non-wholly owned subsidiary",Class,"","a subsidiary which is not a wholly owned subsidiary","A kind of subsidiary."
"not for profit corporation",Class,"non-profit corporation","a corporation approved by its jurisdictional oversight and taxing authorities as operating for educational, charitable, social, religious, civic or humanitarian purposes","A kind of corporation and not for profit organization."
"not for profit objective",Class,"nonprofit objective","an objective that reflects the charitable, educational, religious, humanitarian, public services, or other not for profit goals of an organization","A kind of objective."
"not for profit organization",Class,"non-profit organization","an organization that uses its surplus revenues to further achieve its purpose or mission, rather than distributing its surplus income to the organization's owners (directors, investors, or equivalents) as profit or dividends","A kind of formal organization. A valid occurrence satisfies the following necessary condition:
has objective at least one occurrence of not for profit objective."
"notional financial marketplace",Class,"","a place which is identified as a financial market but which is not a physical place such as a country or region. This may be a conceptual place such as the Eurobond market or the Global market.","A kind of market, notional place, and notional place."
"notional place",Class,"","A place described in terms of some abstract description or as a list of commonly understood concepts such as domestic, Eurozone etc.","A kind of location."
"notional step amount",Class,"","the amount of money which is removed from the notional on each step date","A kind of monetary amount. A valid occurrence satisfies the following necessary condition:
has notional amount at least one occurrence of monetary amount."
"notional step change event",Class,"","a step change in the notional amount of the swap stream","A kind of interest rate stream event. A valid occurrence satisfies the following necessary condition:
has date at least one occurrence of calculated date."
"notional step percentage amount",Class,"","the percentage amount by which the notional changes on each step date","A kind of percentage monetary amount."
"notional step period length",Class,"","a recurrence interval indicating the frequency with which step changes occur, which is a multiple of the calculation period in the calculation schedule","A kind of recurrence interval."
"notional step schedule",Class,"","schedule of changes in the notional amount on which interest is paid, comprising the regular sequence of step events","A kind of parametric schedule. A valid occurrence satisfies the following necessary conditions:
specifies at least one occurrence of notional step amount.
refers to at least one occurrence of swapstream interest calculation schedule."
"numeric index",Class,"","the change in some aggregate relative to the value of the aggregate at a reference period","A kind of expression, quantity value, and statistical measure. A valid occurrence satisfies the following necessary conditions:
has base period exactly one occurrence of explicit date period.
has reporting period exactly one occurrence of explicit date period."
"o t c contract settlement terms",Class,"","",""
"o t c derivative agreement",Class,"","","A kind of o t c transaction agreement."
"o t c instrument contract",Class,"","","A kind of economic contract. A valid occurrence satisfies the following necessary condition:
o t c instrument contract embodies at least one occurrence of o t c transaction agreement."
"o t c transaction agreement",Class,"","The agreement which forms the basis of any Over the Counter (OTC) transaction, including OTC derivatives and bilateral debt instruments.","A kind of contractual economic agreement."
"objective",Class,"","a statement of a quantitative, measurable result that a person, organization, or system seeks to attain in order to achieve its goals",""
"observable value",Class,"","a value for something that can be observed in the marketplace","A kind of formula argument, monetary amount, and quantity value."
"occurrence",Class,"","An Occurrence is a happening of an OccurrenceKind. Each Occurrence has a DateTimeStamp, which identifies when the Occurrence happened, and a Location (possibly virtual), that identifies where the Occurrence happened.","A valid occurrence satisfies the following necessary conditions:
exemplifies exactly one occurrence of occurrence kind.
is located at exactly one occurrence of location.A valid occurrence may also have the following properties:
exemplifies any number of occurrences of occurrence kind."
"occurrence based date",Class,"","An OccurrenceBaseDate is a CalculatedDate that is defined with respect to the Occurrence of some OccurrenceKind. The 'hasDateValue' property of an OccurrenceBasedDate is not set until the Occurrence happens. The 'triggeredBy' property relates an OccurrenceBasedDate to the OccurrenceKind that gives the meaning of the OccurrenceBasedDate.","A kind of calculated date. A valid occurrence satisfies the following necessary condition:
is triggered by exactly one occurrence of occurrence kind."
"occurrence kind",Class,"","An OccurrenceKind is a type of event, which has a description. An OccurrenceKind may or may not ever happen, and thus does not have a Date. An OccurrenceKind happens as an Occurrence, which does have a Date.","A valid occurrence may have the following properties:
has occurrence any number of occurrences of occurrence.
is exemplified by any number of occurrences of occurrence."
"offeree",Class,"","a party that receives an offer from something from someone (i.e., an offerer) based on the terms of the offering","A kind of party in role. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `is a party to` some `offering [fibo-fbc-pas-fpas:Offering]`."
"offering",Class,"","an expression of interest in providing something to someone that is contigent upon acceptance, forbearance, or some other consideration, as desired by the offeree(s)","A valid occurrence satisfies the following necessary conditions:
applies to at least one occurrence of any type.
is issued by at least one occurrence of offeror.
has party in role at least one occurrence of offeree.
has party in role at least one occurrence of offeror.A valid occurrence may also have the following properties:
is offering of any number of occurrences of any type."
"offering document",Class,"","a legal document, published by an offeror or issuer of one or more securities that contains details of the offer, including but not necessarily limited to information a potential investor might want to know about the offering and issuer in order to make an informed investment decision","A kind of legal document and publication. A valid occurrence satisfies the following necessary conditions:
is evidence for exactly one occurrence of securities offering.
applies to at least one occurrence of security.
has date of issuance exactly one occurrence of date.
has expiration date exactly one occurrence of date."
"offering statement",Class,"","an offering memorandum that conforms to Regulation A, Offering Statement, of the Securities Act of 1933","A kind of offering document."
"offeror",Class,"","a party that proposes to make something available to someone (i.e., an offeree) based on the terms of the offering","A kind of party in role. A valid occurrence satisfies the following necessary conditions:
is played by at least one occurrence of `is a party to` some `offering [fibo-fbc-pas-fpas:Offering]`.
issues at least one occurrence of offering."
"Ontology",Class,"","",""
"option",Class,"","a contract that grants to the holder either the privilege to purchase or the privilege to sell the assets specified at a predetermined price or formula at or within a time in the future","A kind of derivative instrument."
"ordinance",Class,"","An authoritative rule or law; a decree or command; a public injunction or regulation, such as a city ordinance against excessive horn blowing. (Source: Dictionary.com)","A kind of law."
"organization",Class,"","a social unit of people, systematically structured and managed to meet a need or pursue collective goals on a continuing basis","A kind of autonomous agent. A valid occurrence satisfies the following necessary conditions:
has organization member at least one occurrence of organization member.
has organization member at least one occurrence of organization member.
has at least one occurrence of goal.
has address at least one occurrence of physical address.A valid occurrence may also have the following properties:
has member any number of occurrences of autonomous agent.
has part any number of occurrences of organization.
writes any number of occurrences of memorandum.
writes any number of occurrences of memorandum."
"organization covering agreement",Class,"","A formal agreement between the principals in a formal organization which covers the relationship between the principals, and between the principals and the entity.","A kind of written contract."
"organization identification scheme",Class,"","A formal scheme defining identification codes for a business entity.","A kind of identification scheme. A valid occurrence may have the following properties:
defines any number of occurrences of organization identifier."
"organization identifier",Class,"","A textual code which uniquely identifies a formal organization; Further Notes: Things which may identified by this kind of code Include but are not restricted to Legal Entity. At this most general level, this may be the identifier for a Fund, for a Legal Entity, for a Trust, or for the LEI scope of Artificial Person plus Trust.","A kind of identifier."
"organization industry sector classification",Class,"","The classification of an organization in terms of the industry sector in which it carries out business.","A kind of reference. A valid occurrence may have the following properties:
classifies any number of occurrences of formally constituted organization.
classifies any number of occurrences of formally constituted organization."
"organization member",Class,"","identifies that which has a membership role in some organization","A kind of party in role. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `is member of [fibo-fnd-rel-rel:isMemberOf]` only `organization [fibo-fnd-org-org:Organization]`."
"organizational sub unit",Class,"","an organization that is part of a larger formal organization and only has full recognition within the context of that formal organization; In other words, it is not a legal entity in its own right.","A kind of formal organization. A valid occurrence may have the following properties:
is sub-unit of any number of occurrences of formally constituted organization."
"organized trading facility",Class,"","a multi-lateral system which is not an RM or an MTF and in which multiple third-party buying and selling interests in bonds, structured finance products, emission allowances or derivatives are able to interact in the system in a way that results in a contract in accordance with the provisions of Title II of MiFID II","A kind of exchange. A valid occurrence satisfies the following necessary condition:
is governed by at least one occurrence of jurisdiction.A valid occurrence may also have the following properties:
is managed by any number of occurrences of financial service provider."
"OTC instrument confirmation",Class,"","A formal confirmation document which constitutes a written contract between the parties to the transaction, setting out the terms and conditions of the transaction.","A kind of written contract. A valid occurrence satisfies the following necessary conditions:
governs at least one occurrence of o t c derivative transaction.
supersedes at least one occurrence of otcinstrument.
supersedes at least one occurrence of otcinstrument.
supersedes at least one occurrence of o t c instrument contract.A valid occurrence may also have the following properties:
may vary any number of occurrences of obligation in respect of netting."
"otcinstrument",Class,"","",""
"output producer price index",Class,"","an economic indicator representing a measure of the rate of change over time in the prices of products sold as they leave the producer","A kind of producer price index."
"over fifty percent controlling interest company",Class,"","","A kind of voting shareholding company."
"over-the-counter (OTC) derivative contract",Class,"","an over-the-counter agreement that is also a derivative instrument","A kind of derivative instrument and over-the-counter (OTC) instrument."
"over-the-counter (OTC) instrument",Class,"","a financial instrument and bilateral contract that is not listed or traded on an organized exchange","A kind of financial instrument and mutual contractual agreement."
"over-the-counter (OTC) settlement terms",Class,"","settlement terms specific to an over-the-counter agreement","A kind of settlement terms."
"over-the-counter (OTC) transaction",Class,"","an over-the-counter transaction to exchange an instrument for some consideration","A kind of securities transaction. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of over-the-counter (OTC) instrument."
"over-the-counter (OTC) transaction confirmation",Class,"","a formal confirmation document that codifies the terms and conditions of the transaction between the parties","A kind of transaction confirmation and written contract. A valid occurrence satisfies the following necessary condition:
has contract party at least one occurrence of over-the-counter (OTC) transaction party.A valid occurrence may also have the following properties:
governs any number of occurrences of over-the-counter (OTC) transaction."
"over-the-counter (OTC) transaction party",Class,"","a party to an over-the-counter agreement","A kind of contract party. A valid occurrence satisfies the following necessary conditions:
is played by at least one occurrence of `is a party to` some `over-the-counter (OTC) instrument`.
has identity exactly one occurrence of legal person."
"overnight rate",Class,"","a reference rate that is an interest rate at which a depository institution lends funds to another depository institution (short-term), or the interest rate the central bank charges a financial institution to borrow money overnight","A kind of reference interest rate."
"owner",Class,"","A party in the ownership role; one that owns something. The thing owned is an Asset to that Party.","A kind of party in role. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `owns` min 1.A valid occurrence may also have the following properties:
is an owning party in role any number of occurrences of ownership."
"owners equity",Class,"","equity owned in some concern as recorded on the books of that concern","A kind of equity. A valid occurrence satisfies the following necessary conditions:
has part at least one occurrence of capital surplus.
has part at least one occurrence of stockholders' equity."
"ownership",Class,"","Ownership is the context in which some Party is said to own some Independent Thing. The Party is defined as such due to its being the owning party to that Thing.","A kind of relationship context. A valid occurrence may have the following properties:
has owning party any number of occurrences of owner.
has owned thing any number of occurrences of asset.
holds during any number of occurrences of date period."
"ownership and control",Class,"","The intersection of ownership and control reflects the unique case where an independent party both owns and controls another independent thing.",""
"parametric cashflow terms",Class,"","terms for a set of cashflows defined according to a mathematical formula","A kind of cashflow terms. A valid occurrence satisfies the following necessary condition:
has formula at least one occurrence of cashflow formula."
"parametric schedule",Class,"","a regular, parameterized schedule typically used for the calculation of payments for coupons, dividends, and interest","A kind of regular schedule. A valid occurrence satisfies the following necessary condition:
has recurrence start date exactly one occurrence of periodic scheduled event date."
"particular quantity",Class,"","a property that is of an individual thing and is quantifiable as an instance of some quantity kind","A kind of measure."
"partner",Class,"","a member of a partnership","A kind of constitutional owner and formally constituted organization member. A valid occurrence satisfies the following necessary conditions:
has identity exactly one occurrence of legal person.
is played by at least one occurrence of `is member of [fibo-fnd-rel-rel:isMemberOf]` only `partnership`.
is played by at least one occurrence of `is a party to` exactly 1 `partnership agreement`."
"partnership",Class,"","venture in which two or more legal entities carry out some business activities under a common identity","A kind of formally constituted organization and juridical person. A valid occurrence satisfies the following necessary conditions:
has equity at least one occurrence of partnership equity.
is governed by at least one occurrence of partnership agreement.
has party in role at least one occurrence of partner.
has member at least two occurrences of partner.
has objective at least one occurrence of profit objective."
"partnership agreement",Class,"articles of partnership","a document setting up a partnership, giving the details of the business and the amount each partner is contributing to it.","A kind of organization covering agreement. A valid occurrence satisfies the following necessary condition:
has party in role at least one occurrence of partner."
"partnership equity",Class,"","equity in some partnership","A kind of stockholders' equity. A valid occurrence satisfies the following necessary condition:
represents an interest in at least one occurrence of partnership.A valid occurrence may also have the following properties:
has stockholders' equity any number of occurrences of stockholders' equity."
"partnership incorporated by equity",Class,"","a partnership incorporated via the issuance of equity, with limited partners (i.e., partners whose liability is limited) that are necessarily not natural persons (i.e., cannot be individuals)","A kind of partnership with limited partners and stock corporation."
"partnership incorporated through agreement",Class,"","a partnership which has legal personhood, but for which there is not some issuance of limited partner equity","A kind of body incorporated through agreement and partnership."
"partnership with corporate limited partners",Class,"","A partnership with limited partners (partners whose liability is limited) and where those partners are necessarily non natural persons (i.e. cannot be individuals).","A kind of partnership with limited partners. A valid occurrence satisfies the following necessary condition:
has member at least one occurrence of corporate limited partner."
"partnership with general and limited partners",Class,"","a partnership having both limited partners and general partners","A kind of partnership with general partners and partnership with limited partners."
"partnership with general partners",Class,"","a partnership that has two or more general partners","A kind of partnership. A valid occurrence satisfies the following necessary condition:
has member at least two occurrences of general partner."
"partnership with general partners with limited liability",Class,"","a partnership that has general partners, whose general partners have limited liability","A kind of partnership with general partners."
"partnership with limited partners",Class,"","a partnership having limited partners, that is partners whose liabilities are limited to the extent of their equity or guarantees","A kind of partnership. A valid occurrence satisfies the following necessary condition:
has member at least one occurrence of limited partner."
"partnership with natural person limited partners",Class,"","a partnership with limited partners (partners whose liability is limited) and where those partners are necessarily natural persons (i.e. cannot be corporates)","A kind of partnership with limited partners. A valid occurrence satisfies the following necessary condition:
has member at least one occurrence of natural person limited partner."
"partnership with only limited partners",Class,"","a partnership having limited partners but no general partners","A kind of corporation and partnership with limited partners."
"party holding some option for control",Class,"","Some party holding the option to exercise some de jure controlling interest","A kind of controlling interest party. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `holds some means of` only `de jure controlling interest`."
"party in role",Class,"","a relative concept that ties an independent party to a specific role they are standing in in which they play some part i.e. are party to","A kind of agent in role. A valid occurrence satisfies the following necessary conditions:
has commencement date exactly one occurrence of date.
at least one occurrence of relationship context.
has related party at least one occurrence of party in role.
has related party at least one occurrence of party in role.
has identity exactly one occurrence of independent party.A valid occurrence may also have the following properties:
issues any number of occurrences of any type.
becomes party any number of occurrences of party in role."
"passport",Class,"","a document, issued by a national government, which certifies the identity and nationality of its holder for the purpose of international travel","A kind of identity document."
"payee",Class,"","a party to whom a debt should be paid, or to whose order a bill of exchange, note, or check is made payable","A kind of party in role. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `is a party to` some `payment obligation [fibo-fnd-pas-psch:PaymentObligation]`."
"payer",Class,"","a party who pays a bill or fees","A kind of party in role. A valid occurrence may have the following properties:
has obligation any number of occurrences of payment obligation.
has obligation any number of occurrences of payment obligation."
"payment",Class,"","delivery of money in fulfillment of an obligation, such as to satisfy a claim or debt","A kind of occurrence. A valid occurrence satisfies the following necessary conditions:
fulfills obligation exactly one occurrence of payment obligation.
has party in role at least one occurrence of payee.
has party in role at least one occurrence of payer.A valid occurrence may also have the following properties:
has payment amount any number of occurrences of monetary amount.
has payment amount any number of occurrences of monetary amount."
"payment event",Class,"","an event that involves delivery of money in fulfillment of an obligation","A kind of transaction event. A valid occurrence satisfies the following necessary conditions:
involves exactly one occurrence of payment.
applies to exactly one occurrence of payment obligation."
"payment institution",Class,"","a legal person that has been granted authorisation in accordance with Article 10 to provide and execute payment services throughout the European community","A kind of credit institution or investment firm. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `provides` some `payment service`."
"payment obligation",Class,"","a legally enforceable duty to pay a sum of money, or agree to do something (or not to do something), according to the terms stated in a contract","A kind of commitment and duty. A valid occurrence may have the following properties:
is conferred by any number of occurrences of contract.
is obligation of any number of occurrences of payer.
is obligation of any number of occurrences of payer."
