Term,Type,Synonyms,Definition,Generated Definition
"accrual",Class,"","the process of accumulating interest or other income that has been earned but not paid","A kind of thing in role. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of interest."
"ad hoc schedule",Class,"","a schedule that consists of (comprises) AdHocScheduleEntries, each of which specifies a date","A kind of schedule. A valid occurrence satisfies the following necessary conditions:
lists scheduled event at least one occurrence of explicitly scheduled event.
comprises at least one occurrence of ad hoc schedule entry.
lists scheduled event at least one occurrence of explicitly scheduled event."
"ad hoc schedule entry",Class,"","an entry, including a date, among multiple ad hoc schedule entries that jointly make up an AdHocSchedule","A valid occurrence satisfies the following necessary conditions:
comprises exactly one occurrence of occurrence kind.
has date exactly one occurrence of date."
"address",Class,"","an index to a location to which communications may be delivered","A kind of index. A valid occurrence satisfies the following necessary conditions:
applies to exactly one occurrence of location.
has definition exactly one occurrence of addressing scheme.A valid occurrence may also have the following properties:
is index to any number of occurrences of location."
"addressing scheme",Class,"","a system for allocating addresses to objects","A kind of indexing scheme. A valid occurrence may have the following properties:
defines any number of occurrences of address."
"adult",Class,"","a person who has attained the age of majority as defined by given jurisdiction","A kind of person."
"affiliate",Class,"","an affiliate of, or a person affiliated with, a specific person is a person that directly, or indirectly through one or more intermediaries, controls, or is controlled by, or is under common control with, the person specified",""
"agent for service of process",Class,"","the agent (person or organization) designated by a business entity, such as a corporation, to receive legal correspondence on behalf of the business entity in the jurisdiction in which the agent's address is located","A kind of contract third party, signatory, and third-party agent. A valid occurrence may have the following properties:
is recognized in any number of occurrences of jurisdiction."
"agent in role",Class,"","An agent-in-role is a relative concept that ties an autonomous agent to a role they are playing in a given situational context.","A kind of thing in role. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of autonomous agent."
"agreement",Class,"","a negotiated and usually legally enforceable understanding between two or more legally competent parties","A kind of relationship context. A valid occurrence satisfies the following necessary conditions:
has party in role at least two occurrences of party in role.
confers at least one occurrence of commitment."
"agreement corporation",Class,"","a corporation chartered by a state to engage in international banking, so named because the corporation enters into an 'agreement' with the Fed's Board of Governors that it will limit its activities to those permitted","A kind of financial service provider. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of corporation."
"American statistics publisher",Class,"","a statistical information publisher comprised of the government agencies and departments that publish statistical information on behalf of the U.S. Federal Government","A kind of statistical information publisher."
"amortization",Class,"","the process of reduction of debt or other costs through periodic charges to assets or liabilities, such as through principal payments on mortgages","A kind of thing in role. A valid occurrence may have the following properties:
is amortization of any number of occurrences of any type."
"amount of money",Class,"cash","a sum of money","A kind of quantity value. A valid occurrence may have the following properties:
has base money unit any number of occurrences of currency.
has base money unit any number of occurrences of currency."
"arithmetic mean",Class,"","the sum of a collection of numbers divided by the number of numbers in the collection","A kind of mean."
"arrangement",Class,"","a structure or means of organizing information such as a schema, numbering system, organization scheme, measurement system, taxonomy, or language for organizing information",""
"articles of incorporation",Class,"articles of association","proxy","A kind of instrument of incorporation. A valid occurrence satisfies the following necessary conditions:
sets out at least one occurrence of company equity terms.
sets out at least one occurrence of company equity terms."
"asset",Class,"","A thing held by some party and having some value.","A kind of thing in role. A valid occurrence satisfies the following necessary conditions:
is an asset of at least one occurrence of owner.
is played by exactly one occurrence of any type.
is played by exactly one occurrence of any type.
is played by exactly one occurrence of any type.A valid occurrence may also have the following properties:
is an owned thing in role any number of occurrences of ownership."
"asset class",Class,"","a financial instrument classifier for a group of securities that exhibit similar characteristics, behave similarly in the marketplace and are subject to the same laws and regulations","A kind of financial instrument classifier. A valid occurrence satisfies the following necessary condition:
classifies at least one occurrence of security."
"auction date rule",Class,"","a business recurrence interval convention that is a published rule for defining the date of some auction event","A kind of business recurrence interval convention."
"auction date rule",Class,"","","A kind of business recurrence interval convention."
"auditor",Class,"","an individual qualified (at the state level) to conduct audits. An auditor may be an internal auditor (an individual whose primary job function is to audit his or her own company) or an external auditor (an individual from outside the company, who typically is employed by an auditing firm who handles many different clients).","A kind of responsible party."
"automated system",Class,"","a system that reduces or eliminates the need for human involvement in order to complete a task.","A kind of autonomous agent."
"autonomous agent",Class,"","An agent is an autonomous individual that can adapt to and interact with its environment.","A valid occurrence satisfies the following necessary conditions:
has capacity at least one occurrence of conferred social construct.
is identified by at least one occurrence of any type.
has capacity at least one occurrence of conferred social construct.A valid occurrence may also have the following properties:
is identified by any number of occurrences of any type.
is identified by any number of occurrences of any type.
is appointed by any number of occurrences of autonomous agent.
is identified by any number of occurrences of any type.
any number of occurrences of autonomous agent."
"average daily earnings",Class,"","a measure of the average daily wage an employee makes over the reporting period","A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
"average earnings",Class,"","a measure of the average wage an hourly or salaried worker makes in a given period of time","A kind of economic indicator and expression. A valid occurrence satisfies the following necessary condition:
has reference period exactly one occurrence of explicit recurrence interval."
"average hourly earnings",Class,"","a measure of the average hourly wage an employee makes over the reporting period","A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
"average monthly earnings",Class,"","a measure of the average monthly wage an employee makes over the reporting period","A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
"average weekly earnings",Class,"","a measure of the average weekly wage an employee makes over the reporting period","A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
"Bank",Class,"","a depository institution, usually a corporation, that accepts deposits, makes loans, pays checks, and performs related services, for individual members of the public, businesses or other organizations","A kind of depository institution."
"bank account",Class,"","an account held or provided by, as a service, a bank","A kind of account. A valid occurrence satisfies the following necessary conditions:
is identified by at least one occurrence of account identifier.
is provided by at least one occurrence of Bank.
has party in role at least one occurrence of Bank."
"bank for international settlements",Class,"","an international financial organization that serves central banks in their pursuit of monetary and financial stability, helping to foster international cooperation in those areas and acting as a bank for central banks","A kind of Bank."
"bank holding company",Class,"","any company that owns and/or has direct or indirect control of one or more banks; BHCs may also own nonbanking subsidiaries such as broker-dealers and asset managers","A kind of business and financial service provider. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of corporation."
"banking product",Class,"","a product provided to consumers and businesses by a bank or similar depository institution such as a checking account, savings account, certificate of deposit, debit or pre-paid card, or credit card","A kind of financial product. A valid occurrence satisfies the following necessary condition:
is provided by at least one occurrence of depository institution."
